,5.0,4.0,3.0,2.0,1.0,NaN
0.1,0,0,0,0,0,29.0
0.2,0,0,0,0,0,29.0
0.30000000000000004,0,0,0,0,0,29.0
0.4,0,0,0,0,0,29.0
0.5,0,0,0,0,0,29.0
0.6,0,0,0,0,0,29.0
0.7000000000000001,0,0,0,0,0,29.0
0.8,0,0,0,0,0,29.0
0.9,0,0,0,0,0,29.0
1.0,0,0,0,0,0,29.0
1.1,0,0,0,0,0,29.0
1.2000000000000002,0,0,0,0,0,29.0
1.3000000000000003,0,0,0,0,0,29.0
1.4000000000000001,0,0,0,0,0,29.0
1.5000000000000002,0,0,0,0,0,29.0
1.6,0,0,0,0,0,29.0
1.7000000000000002,0,0,0,0,0,29.0
1.8000000000000003,0,0,0,0,0,29.0
1.9000000000000001,0,0,0,0,0,29.0
2.0,0,0,0,0,0,29.0
2.1,0,0,0,0,0,29.0
2.2,0,0,0,0,0,29.0
2.3000000000000003,0,0,0,0,0,29.0
2.4000000000000004,0,0,0,0,0,29.0
2.5000000000000004,0,0,0,0,0,29.0
2.6,0,0,0,0,0,29.0
2.7,0,0,0,0,0,29.0
2.8000000000000003,0,0,0,0,0,29.0
2.9000000000000004,0,0,0,0,0,29.0
3.0000000000000004,0,0,0,0,0,29.0
3.1,0,0,0,0,0,29.0
3.2,0,0,0,0,0,29.0
3.3000000000000003,0,0,0,0,0,29.0
3.4000000000000004,0,0,0,0,0,29.0
3.5000000000000004,0,0,0,0,0,29.0
3.6,0,0,0,0,0,29.0
3.7,0,0,0,0,0,29.0
3.8000000000000003,0,0,0,0,0,29.0
3.9000000000000004,0,0,0,0,0,29.0
4.0,0,0,0,0,0,29.0
4.1,0,0,0,0,0,29.0
4.2,0,0,0,0,0,29.0
4.3,0,0,0,0,0,29.0
4.3999999999999995,0,0,0,0,0,29.0
4.5,0,0,0,0,0,29.0
4.6,0,0,0,0,0,29.0
4.7,0,0,0,0,0,29.0
4.8,0,0,0,0,0,29.0
4.9,0,0,0,0,0,29.0
5.0,0,0,0,0,0,29.0
5.1,0,0,0,0,0,29.0
5.2,0,0,0,0,0,29.0
5.3,0,0,0,0,0,29.0
5.4,0,0,0,0,0,29.0
5.5,0,0,0,0,0,29.0
5.6,0,0,0,0,0,29.0
5.7,0,0,0,0,0,29.0
5.8,0,0,0,0,0,29.0
5.9,0,0,0,0,0,29.0
6.0,0,0,0,0,0,29.0
6.1,0,0,0,0,0,29.0
6.2,0,0,0,0,0,29.0
6.3,0,0,0,0,0,29.0
6.4,0,0,0,0,0,29.0
6.5,0,0,0,0,0,29.0
6.6,0,0,0,0,0,29.0
6.7,0,0,0,0,0,29.0
6.8,0,0,0,0,0,29.0
6.9,0,0,0,0,0,29.0
7.0,0,0,0,0,0,29.0
7.1,0,0,0,0,0,29.0
7.2,0,0,0,0,0,29.0
7.3,0,0,0,0,0,29.0
7.4,0,0,0,0,0,29.0
7.5,0,0,0,0,0,29.0
7.6,0,0,0,0,0,29.0
7.7,0,0,0,0,0,29.0
7.8,0,0,0,0,0,29.0
7.9,0,0,0,0,0,29.0
8.0,0,0,0,0,0,29.0
8.1,0,0,0,0,0,29.0
8.2,0,0,0,0,0,29.0
8.3,0,0,0,0,0,29.0
8.4,0,0,0,0,0,29.0
8.5,0,1,0,0,0,28.0
8.6,0,1,0,0,0,28.0
8.7,0,2,0,0,0,27.0
8.8,1,2,0,0,0,26.0
8.9,1,2,0,0,0,26.0
9.0,1,2,0,0,0,26.0
9.1,1,2,0,0,0,26.0
9.2,1,2,0,0,0,26.0
9.3,1,2,0,0,0,26.0
9.4,1,2,0,0,0,26.0
9.5,1,2,0,0,0,26.0
9.6,1,2,0,0,0,26.0
9.700000000000001,1,2,0,0,0,26.0
9.8,1,2,0,0,0,26.0
9.9,1,2,0,0,0,26.0
10.0,1,2,0,0,0,26.0
10.1,1,2,0,0,0,26.0
10.200000000000001,1,2,0,0,0,26.0
10.3,1,2,0,0,0,26.0
10.4,1,2,0,0,0,26.0
10.5,1,2,1,0,0,25.0
10.6,1,2,1,0,0,25.0
10.700000000000001,1,2,1,0,0,25.0
10.8,1,2,1,0,0,25.0
10.9,2,2,1,0,0,24.0
11.0,2,2,1,0,0,24.0
11.1,2,3,1,0,0,23.0
11.200000000000001,2,3,1,0,0,23.0
11.3,2,3,1,0,0,23.0
11.4,3,3,1,0,0,22.0
11.5,3,3,1,0,0,22.0
11.6,3,3,1,0,0,22.0
11.700000000000001,4,3,1,0,0,21.0
11.8,4,3,1,0,0,21.0
11.9,4,3,1,0,0,21.0
12.0,4,3,1,0,0,21.0
12.1,4,3,1,0,0,21.0
12.200000000000001,4,3,1,0,0,21.0
12.3,4,3,1,0,0,21.0
12.4,4,3,1,0,0,21.0
12.5,4,3,1,0,0,21.0
12.6,4,3,1,0,0,21.0
12.700000000000001,4,3,1,0,0,21.0
12.8,4,3,1,0,0,21.0
12.9,4,3,1,0,0,21.0
13.0,4,3,1,0,0,21.0
13.1,4,3,1,0,0,21.0
13.200000000000001,4,3,1,0,0,21.0
13.3,4,3,1,0,0,21.0
13.4,4,3,1,0,0,21.0
13.5,4,3,1,0,0,21.0
13.6,5,3,1,0,0,20.0
13.700000000000001,5,3,1,0,0,20.0
13.8,5,3,1,0,0,20.0
13.9,5,3,1,0,0,20.0
14.0,5,3,1,0,0,20.0
14.1,5,3,1,0,0,20.0
14.200000000000001,5,3,1,0,0,20.0
14.3,5,3,1,0,0,20.0
14.4,5,3,1,0,0,20.0
14.5,5,3,1,0,0,20.0
14.6,5,3,1,0,0,20.0
14.700000000000001,5,3,1,0,0,20.0
14.8,5,3,1,0,0,20.0
14.9,5,3,1,0,0,20.0
15.0,5,3,1,0,0,20.0
15.1,5,3,1,0,0,20.0
15.200000000000001,5,3,1,0,0,20.0
15.3,5,3,1,0,0,20.0
15.4,5,3,1,0,0,20.0
15.5,5,3,1,0,0,20.0
15.6,5,3,2,0,0,19.0
15.700000000000001,5,3,2,0,0,19.0
15.8,5,3,2,0,0,19.0
15.9,5,3,2,0,0,19.0
16.0,5,3,2,0,0,19.0
16.1,5,3,2,0,0,19.0
16.200000000000003,5,3,2,0,0,19.0
16.3,5,3,2,0,0,19.0
16.400000000000002,5,3,2,0,0,19.0
16.500000000000004,5,3,2,0,0,19.0
16.6,5,3,2,0,0,19.0
16.700000000000003,5,3,2,0,0,19.0
16.8,6,3,2,0,0,18.0
16.900000000000002,6,3,2,0,0,18.0
17.000000000000004,6,3,2,0,0,18.0
17.1,6,3,2,0,0,18.0
17.200000000000003,6,3,2,0,0,18.0
17.3,6,3,2,0,0,18.0
17.400000000000002,6,3,2,0,0,18.0
17.500000000000004,6,3,2,0,0,18.0
17.6,6,3,2,0,0,18.0
17.700000000000003,6,3,2,0,0,18.0
17.8,6,3,2,0,0,18.0
17.900000000000002,6,4,1,0,0,18.0
18.000000000000004,6,4,1,0,0,18.0
18.1,6,4,1,0,0,18.0
18.200000000000003,6,4,1,0,0,18.0
18.3,6,4,1,0,0,18.0
18.400000000000002,6,4,1,0,0,18.0
18.500000000000004,6,4,1,0,0,18.0
18.6,6,4,1,0,0,18.0
18.700000000000003,6,4,1,0,0,18.0
18.8,6,4,1,0,0,18.0
18.900000000000002,6,4,1,0,0,18.0
19.000000000000004,6,4,1,0,0,18.0
19.1,6,4,1,0,0,18.0
19.200000000000003,6,4,2,0,0,17.0
19.300000000000004,6,4,2,0,0,17.0
19.400000000000002,6,4,2,0,0,17.0
19.500000000000004,6,4,2,0,0,17.0
19.6,6,4,2,0,0,17.0
19.700000000000003,6,4,2,0,0,17.0
19.800000000000004,6,4,2,0,0,17.0
19.900000000000002,6,4,2,0,0,17.0
20.000000000000004,6,4,2,0,0,17.0
20.1,6,4,2,0,0,17.0
20.200000000000003,6,4,2,0,0,17.0
20.300000000000004,6,4,2,0,0,17.0
20.400000000000002,6,4,2,0,0,17.0
20.500000000000004,6,4,2,0,0,17.0
20.6,6,4,2,0,0,17.0
